Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
6/2/2017,Online Payment,PAYMENT - THANK YOU,357.68,credit,Hide from Budgets & Trends,TD GREEN VISA,,
6/2/2017,House Barons,HOUSE OF BARONS,30.5,debit,Hair,TD GREEN VISA,,
6/2/2017,Online Payment,PAYMENT - THANK YOU,40,credit,Hide from Budgets & Trends,TD GREEN VISA,,
6/2/2017,Boston Pizza,BOSTON PIZZA # 421,58.42,debit,Restaurants,TD GREEN VISA,,
6/2/2017,House Barons,HOUSE OF BARONS,33.9,debit,Hair,TD GREEN VISA,,
6/2/2017,Transfer Personal Payee,Transfer from Personal Payee RICHARD L,65,credit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
6/2/2017,Transfer Td Jq,Transfer to TD Credit Card JQ494,357.68,debit,Credit Card Payment,TD STUDENT CHEQUING ACCOUNT,,
5/31/2017,Transfer from EVERY DAY CHEQUING WITH STUDENT DISCOUNT,PAYMENT - THANK YOU,300,credit,Hide from Budgets & Trends,TD GREEN VISA,,
5/31/2017,Sp Poler Ca,SP * POLER.CA,395.5,debit,Shopping,TD GREEN VISA,,
5/31/2017,Other Bank Fees,OTHER BANK FEES,4,debit,Bank Fee,TD STUDENT CHEQUING ACCOUNT,,
5/31/2017,Transfer Personal Payee,Transfer to Personal Payee LINE W8J9U8,700,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
5/31/2017,Transfer to TD GREEN VISA,Transfer to TD Credit Card HG160,300,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
5/31/2017,Canada Pay,CANADA PAY,1334.18,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
5/30/2017,Simply Save Td,Simply Save from TD STUDENT CHEQUING ACCOUNT 05636349656,1,credit,Income,TD EVERY DAY SAVINGS ACCOUNT,,
5/30/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Simply Save to TD EVERY DAY SAVINGS ACCOUNT 05636446058,1,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
5/30/2017,Transfer from EVERY DAY CHEQUING WITH STUDENT DISCOUNT,Simply Save from EVERY DAY CHEQUING WITH STUDENT DISCOUNT 05636349656,1,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
5/29/2017,NoFrills,NOFRILLS NICHOL _F,28.77,debit,Groceries,TD STUDENT CHEQUING ACCOUNT,,
5/29/2017,Td ATM Withdrawal,TD ATM W/D 007826,80,debit,Alcohol & Bars,TD STUDENT CHEQUING ACCOUNT,,
5/28/2017,Onroute,ONROUTE #01168,32.53,debit,Gas & Fuel,TD GREEN VISA,,
5/28/2017,Tim Horton's,TIM HORTONS 4102 QTH,1.8,debit,Coffee Shops,TD GREEN VISA,,
5/27/2017,Arepa Cafe,AREPA CAFE,41.97,debit,Restaurants,TD GREEN VISA,,
5/26/2017,Onroute,ONROUTE #01169,45.38,debit,Gas & Fuel,TD GREEN VISA,,
5/26/2017,Burger King,BURGER KING HK TRAVEL,16.7,debit,Fast Food,TD GREEN VISA,,
5/25/2017,Mucho Burrito,MUCHO BURRITO,13.5,debit,Restaurants,TD GREEN VISA,,
5/24/2017,Simply Save Td,Simply Save from TD STUDENT CHEQUING ACCOUNT 05636349656,1,credit,Income,TD EVERY DAY SAVINGS ACCOUNT,,
5/24/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Simply Save to TD EVERY DAY SAVINGS ACCOUNT 05636446058,1,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
5/24/2017,Transfer from EVERY DAY CHEQUING WITH STUDENT DISCOUNT,Simply Save from EVERY DAY CHEQUING WITH STUDENT DISCOUNT 05636349656,1,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
5/23/2017,ATM Fee,NON-TD ATM W/D,3.5,debit,ATM Fee,TD STUDENT CHEQUING ACCOUNT,,
5/23/2017,Non Td ATM,NON-TD ATM W/D,20,debit,Cash & ATM,TD STUDENT CHEQUING ACCOUNT,,
5/23/2017,ATM Fee,NON-TD ATM W/D,3.5,debit,ATM Fee,TD STUDENT CHEQUING ACCOUNT,,
5/23/2017,Non Td ATM,NON-TD ATM W/D,60,debit,Cash & ATM,TD STUDENT CHEQUING ACCOUNT,,
5/23/2017,Bmo Q K,BMO MasterCard Q9K3H3,35,debit,Credit Card Payment,TD STUDENT CHEQUING ACCOUNT,,
5/22/2017,Ottawa Pizza Hut,OTTAWA PIZZA,18.18,debit,Fast Food,TD GREEN VISA,,
5/20/2017,Uber.com,UBER CA MAY20 TIMDY HELP.,29.84,debit,Rental Car & Taxi,TD GREEN VISA,,
5/19/2017,Fox Feather Pu,THE FOX AND FEATHER PU,62.28,debit,Restaurants,TD GREEN VISA,,
5/17/2017,Online Payment,PAYMENT - THANK YOU,607.64,credit,Hide from Budgets & Trends,TD GREEN VISA,,
5/17/2017,Canada Pay,CANADA PAY,1059.51,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
5/17/2017,Transfer Td Wp,Transfer to TD Credit Card WP324,607.64,debit,Credit Card Payment,TD STUDENT CHEQUING ACCOUNT,,
5/15/2017,iTunes,APL* ITUNES.COM/BILL,4.98,debit,Music,TD GREEN VISA,,
5/13/2017,Jonny Canuck Bar,JONNY CANUCK'S BAR &,11.99,debit,Restaurants,TD GREEN VISA,,
5/12/2017,Fitness Warehouse,FITNESS WAREHOUSE INC,84.75,debit,Gym,TD GREEN VISA,,
5/10/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Simply Save to TD EVERY DAY SAVINGS ACCOUNT 05636446058,0.5,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
5/10/2017,Transfer from EVERY DAY CHEQUING WITH STUDENT DISCOUNT,Simply Save from EVERY DAY CHEQUING WITH STUDENT DISCOUNT 05636349656,0.5,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
5/9/2017,Transfer from TD EVERY DAY SAVINGS ACCOUNT,Transfer from TD EVERY DAY SAVINGS ACCOUNT 6446058 WT235,20,credit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
5/9/2017,Td ATM Withdrawal,TD ATM W/D 009425,60,debit,Alcohol & Bars,TD STUDENT CHEQUING ACCOUNT,,
5/9/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Simply Save to TD EVERY DAY SAVINGS ACCOUNT 05636446058,0.5,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
5/9/2017,Transfer to EVERY DAY CHEQUING WITH STUDENT DISCOUNT,Transfer to EVERY DAY CHEQUING WITH STUDENT DISCOUNT 6349656 WT235,20,debit,Transfer,TD EVERY DAY SAVINGS ACCOUNT,,
5/9/2017,Transfer from EVERY DAY CHEQUING WITH STUDENT DISCOUNT,Simply Save from EVERY DAY CHEQUING WITH STUDENT DISCOUNT 05636349656,0.5,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
5/8/2017,Ultramar,ULTRAMAR #32720,38.09,debit,Gas & Fuel,TD GREEN VISA,,
5/8/2017,Td ATM Withdrawal,TD ATM W/D 004397,100,debit,Alcohol & Bars,TD STUDENT CHEQUING ACCOUNT,,
5/6/2017,Lieutenant Pump,LIEUTENANT`S PUMP,19.2,debit,Alcohol & Bars,TD GREEN VISA,,
5/6/2017,Eshopnikecom,EshopNikeCOM,299.45,debit,Shopping,TD GREEN VISA,,
5/6/2017,Bier Markt,BIER MARKT OTTAWA,41.6,debit,Groceries,TD GREEN VISA,,
5/6/2017,Lieutenant Pump,LIEUTENANT`S PUMP,14.4,debit,Alcohol & Bars,TD GREEN VISA,,
5/5/2017,LCBO,LCBO/RAO #0624,12.6,debit,Alcohol & Bars,TD GREEN VISA,,
5/5/2017,Online Payment,PAYMENT - THANK YOU,501.13,credit,Hide from Budgets & Trends,TD GREEN VISA,,
5/5/2017,Transfer Td Jr,Transfer to TD Credit Card JR504,501.13,debit,Credit Card Payment,TD STUDENT CHEQUING ACCOUNT,,
5/4/2017,Hooley,HOOLEY'S,49,debit,Alcohol & Bars,TD GREEN VISA,,
5/4/2017,Transfer Personal Payee,Transfer from Personal Payee RICHARD L,33.79,credit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
5/3/2017,Wal-Mart,WAL-MART SUPERCENTER#3065,33.79,debit,Pharmacy,TD GREEN VISA,,
5/3/2017,Starbucks,STARBUCKS 04245,2.36,debit,Coffee Shops,TD GREEN VISA,,
5/3/2017,Canada Pay,CANADA PAY,442.85,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
5/1/2017,Online Payment,PAYMENT - THANK YOU,255.94,credit,Hide from Budgets & Trends,TD GREEN VISA,,
5/1/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Simply Save to TD EVERY DAY SAVINGS ACCOUNT 05636446058,0.5,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
5/1/2017,Transfer from EVERY DAY CHEQUING WITH STUDENT DISCOUNT,Simply Save from EVERY DAY CHEQUING WITH STUDENT DISCOUNT 05636349656,0.5,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
4/29/2017,Mucho Burrito,MUCHO BURRITO,16.84,debit,Restaurants,TD GREEN VISA,,
4/29/2017,Clocktower,CLOCKTOWER BREW PUB OR,17.8,debit,Mortgage & Rent,TD GREEN VISA,,
4/29/2017,Aramark,ARAMARK ENTERTAINMENT,24.5,debit,Food & Dining,TD GREEN VISA,,
4/29/2017,Tommy Hilfiger,TOMMY HILFIGER #749,227.75,debit,Clothing,TD GREEN VISA,,
4/29/2017,A & W,A & W # 4563 KANATA,17.49,debit,Fast Food,TD GREEN VISA,,
4/28/2017,Ultramar,ULTRAMAR #32696,50,debit,Gas & Fuel,TD GREEN VISA,,
4/28/2017,International News,INTERNATIONAL NEWS,3.94,debit,Fast Food,TD GREEN VISA,,
4/28/2017,Td ATM Withdrawal,TD ATM W/D 005938,20,debit,Alcohol & Bars,TD STUDENT CHEQUING ACCOUNT,,
4/25/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Simply Save to TD EVERY DAY SAVINGS ACCOUNT 05636446058,0.5,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
4/25/2017,Transfer from EVERY DAY CHEQUING WITH STUDENT DISCOUNT,Simply Save from EVERY DAY CHEQUING WITH STUDENT DISCOUNT 05636349656,0.5,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
4/24/2017,Winners,WINNERSHOMESENSE 31106,93.74,debit,Furnishings,TD GREEN VISA,,
4/24/2017,Tim Horton's,TIM HORTONS #33 _F,1.7,debit,Coffee Shops,TD STUDENT CHEQUING ACCOUNT,,
4/24/2017,Interac E Transfer,Interac e-Transfer C2***5Ja,15,credit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
4/23/2017,Uber.com,UBER CA APR22 YCERK HELP.,7.45,debit,Rental Car & Taxi,TD GREEN VISA,,
4/23/2017,Loblaws,LOBLAWS RCSS #1071,12.41,debit,Groceries,TD GREEN VISA,,
4/23/2017,Uber.com,UBER CA APR22 XLVAA HELP.,10.19,debit,Rental Car & Taxi,TD GREEN VISA,,
4/23/2017,Sobeys,SOBEYS #4738,4.09,debit,Groceries,TD GREEN VISA,,
4/23/2017,Jonny Canuck Bar,JONNY CANUCK'S BAR &,48.99,debit,Restaurants,TD GREEN VISA,,
4/23/2017,Metro,METRO #265,1.99,debit,Groceries,TD GREEN VISA,,
4/22/2017,Houle Sports,HOULE SPORTS,90.4,debit,Sports,TD GREEN VISA,,
4/22/2017,La Maison Simons,LA MAISON SIMONS 1021 OTT,72.2,debit,Clothing,TD GREEN VISA,,
4/22/2017,LCBO,LCBO/RAO #0624,12.6,debit,Alcohol & Bars,TD GREEN VISA,,
4/20/2017,Spic Span Dryclea,SPIC & SPAN #1 DRYCLEA,40.51,debit,Laundry,TD GREEN VISA,,
4/19/2017,Online Payment,PAYMENT - THANK YOU,37,credit,Hide from Budgets & Trends,TD GREEN VISA,,
4/19/2017,Imperial Barber Shop,IMPERIAL BARBER SHOP TENT,36.61,debit,Hair,TD GREEN VISA,,
4/19/2017,Transfer from EVERY DAY CHEQUING WITH STUDENT DISCOUNT,PAYMENT - THANK YOU,501.13,credit,Hide from Budgets & Trends,TD GREEN VISA,,
4/19/2017,Transfer to TD GREEN VISA,Transfer to TD Credit Card HQ532,501.13,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
4/19/2017,Canada Pay,CANADA PAY,571.59,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
4/19/2017,Transfer Personal Payee,Transfer from Personal Payee RICHARD L,40,credit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
4/18/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Simply Save to TD EVERY DAY SAVINGS ACCOUNT 05636446058,0.5,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
4/18/2017,Transfer from EVERY DAY CHEQUING WITH STUDENT DISCOUNT,Simply Save from EVERY DAY CHEQUING WITH STUDENT DISCOUNT 05636349656,0.5,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
4/17/2017,Td ATM Withdrawal,TD ATM W/D 007745,20,debit,Alcohol & Bars,TD STUDENT CHEQUING ACCOUNT,,
4/17/2017,Transfer from TD EVERY DAY SAVINGS ACCOUNT,Transfer from TD EVERY DAY SAVINGS ACCOUNT 6446058 JW240,50,credit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
4/17/2017,Transfer to EVERY DAY CHEQUING WITH STUDENT DISCOUNT,Transfer to EVERY DAY CHEQUING WITH STUDENT DISCOUNT 6349656 JW240,50,debit,Transfer,TD EVERY DAY SAVINGS ACCOUNT,,
4/13/2017,Fitness Warehouse,FITNESS WAREHOUSE INC,84.75,debit,Gym,TD GREEN VISA,,
4/12/2017,Boston Pizza,BOSTON PIZZA # 421,35.8,debit,Restaurants,TD GREEN VISA,,
4/12/2017,Transfer Personal Payee,Transfer to Personal Payee LINE R4Y4J7,60,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
4/10/2017,Carleton,CARLETON UNIVERSITY,8,debit,Parking,TD GREEN VISA,,
4/10/2017,Ultramar,ULTRAMAR #32696,48.37,debit,Gas & Fuel,TD GREEN VISA,,
4/10/2017,Transfer Personal Payee,Transfer from Personal Payee RICHARD L,290,credit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
4/10/2017,Interac E Transfer,Interac e-Transfer Fee,1,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
4/10/2017,Interac E Transfer,Interac e-Transfer C0***2Y6,290,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
4/9/2017,Cyc Design Rc,CYC DESIGN- RC / WH,237.3,debit,Shopping,TD GREEN VISA,,
4/8/2017,Jonny Canuck Bar,JONNY CANUCK'S BAR &,28.46,debit,Restaurants,TD GREEN VISA,,
4/7/2017,City Ottawa Online,CITY OTTAWA ONLINE SERVIC,46.5,debit,Parking,TD GREEN VISA,,
4/6/2017,Shell,SHELL 1993 TENTH LINE RD,15,debit,Gas & Fuel,TD GREEN VISA,,
4/6/2017,Transfer from EVERY DAY CHEQUING WITH STUDENT DISCOUNT,PAYMENT - THANK YOU,120,credit,Hide from Budgets & Trends,TD GREEN VISA,,
4/6/2017,Transfer Personal Payee,Transfer to Personal Payee LINE L6R6W7,500,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
4/6/2017,Transfer to TD GREEN VISA,Transfer to TD Credit Card II220,120,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
4/6/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Simply Save to TD EVERY DAY SAVINGS ACCOUNT 05636446058,0.5,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
4/6/2017,Transfer from EVERY DAY CHEQUING WITH STUDENT DISCOUNT,Simply Save from EVERY DAY CHEQUING WITH STUDENT DISCOUNT 05636349656,0.5,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
4/5/2017,Carleton,CARLETON UNIVERSITY,8,debit,Parking,TD GREEN VISA,,
4/5/2017,Canada Pay,CANADA PAY,571.58,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
4/5/2017,Canada Gst,CANADA GST,105.25,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
4/5/2017,Loblaws,LOBLAWS RCSS #1,28.49,debit,Groceries,TD STUDENT CHEQUING ACCOUNT,,
4/3/2017,Cdn Tire Gasbar,CDN TIRE GASBAR #01089,15,debit,Gas & Fuel,TD GREEN VISA,,
3/31/2017,Tim Horton's,TIM HORTONS 2936 QPS,3.78,debit,Coffee Shops,TD GREEN VISA,,
3/31/2017,Interest,INTEREST CREDIT,0.01,credit,Interest Income,TD EVERY DAY SAVINGS ACCOUNT,,
3/29/2017,Carleton Food Court,CARLETON FOOD COURT #3,10.72,debit,Fast Food,TD GREEN VISA,,
3/28/2017,Transfer from EVERY DAY CHEQUING WITH STUDENT DISCOUNT,PAYMENT - THANK YOU,300,credit,Hide from Budgets & Trends,TD GREEN VISA,,
3/28/2017,Carleton Food Court,CARLETON FOOD COURT #3,9.02,debit,Fast Food,TD GREEN VISA,,
3/28/2017,Transfer from TD GREEN VISA,Transfer from Personal Payee RICHARD L,28.45,credit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
3/28/2017,Bmo H U,BMO MasterCard H7U8W2,16.09,debit,Credit Card Payment,TD STUDENT CHEQUING ACCOUNT,,
3/28/2017,Transfer Td Wq,Transfer to TD Credit Card WQ441,300,debit,Credit Card Payment,TD STUDENT CHEQUING ACCOUNT,,
3/27/2017,Metro,METRO #265,3.59,debit,Groceries,TD GREEN VISA,,
3/27/2017,Canada Computers,CANADA COMPUTERS,307.63,debit,Electronics & Software,TD GREEN VISA,,
3/24/2017,Mucho Burrito,MUCHO BURRITO,16.84,debit,Restaurants,TD GREEN VISA,,
3/24/2017,Drummond Gas Brons,DRUMMOND'S GAS - BRONS,45.11,debit,Gas & Fuel,TD GREEN VISA,,
3/24/2017,Transfer to EVERY DAY CHEQUING WITH STUDENT DISCOUNT,WAL-MART SUPERCENTER#3065,28.45,debit,Pharmacy,TD GREEN VISA,,
3/23/2017,Transfer to TD GREEN VISA,Transfer to Personal Payee LINE A3Z9R9,300,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
3/22/2017,Canada Pay,CANADA PAY,571.6,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
3/21/2017,Transfer from EVERY DAY CHEQUING WITH STUDENT DISCOUNT,PAYMENT - THANK YOU,400,credit,Hide from Budgets & Trends,TD GREEN VISA,,
3/21/2017,Transfer to TD GREEN VISA,Transfer to TD Credit Card WQ464,400,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
3/21/2017,Transfer from TD EVERY DAY SAVINGS ACCOUNT,Transfer from TD EVERY DAY SAVINGS ACCOUNT 6446058 WQ455,400,credit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
3/21/2017,Transfer to EVERY DAY CHEQUING WITH STUDENT DISCOUNT,Transfer to EVERY DAY CHEQUING WITH STUDENT DISCOUNT 6349656 WQ455,400,debit,Transfer,TD EVERY DAY SAVINGS ACCOUNT,,
3/20/2017,Drummond Gas Brons,DRUMMOND'S GAS - BRONS,15.04,debit,Gas & Fuel,TD GREEN VISA,,
3/20/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Simply Save to TD EVERY DAY SAVINGS ACCOUNT 05636446058,0.5,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
3/20/2017,Transfer Personal Payee,Transfer from Personal Payee RICHARD L,84,credit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
3/20/2017,Transfer from EVERY DAY CHEQUING WITH STUDENT DISCOUNT,Simply Save from EVERY DAY CHEQUING WITH STUDENT DISCOUNT 05636349656,0.5,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
3/18/2017,Uber.com,UBER CA MAR18 KUWNI HELP.,5,debit,Rental Car & Taxi,TD GREEN VISA,,
3/18/2017,Hookgrip,HOOKGRIP,123.43,debit,Sports,TD GREEN VISA,,
3/18/2017,Uber.com,UBER CA MAR17 OZOQD HELP.,15.95,debit,Rental Car & Taxi,TD GREEN VISA,,
3/18/2017,Uber.com,UBER CA MAR18 XJCP6 HELP.,52.35,debit,Rental Car & Taxi,TD GREEN VISA,,
3/17/2017,LCBO,LCBO/RAO #0624,14.35,debit,Alcohol & Bars,TD GREEN VISA,,
3/17/2017,Td ATM Withdrawal,TD ATM W/D 005981,60,debit,Alcohol & Bars,TD STUDENT CHEQUING ACCOUNT,,
3/15/2017,Carleton,CARLETON UNIVERSITY,8,debit,Parking,TD GREEN VISA,,
3/15/2017,Tim Horton's,TIM HORTONS 2136 QPS,1.7,debit,Coffee Shops,TD GREEN VISA,,
3/15/2017,Fitness Warehouse,FITNESS WAREHOUSE INC,84.72,debit,Gym,TD GREEN VISA,,
3/13/2017,Mucho Burrito,MUCHO BURRITO,13.5,debit,Restaurants,TD GREEN VISA,,
3/13/2017,Interac E Transfer,Interac e-Transfer Fee,1,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
3/13/2017,Transfer Personal Payee,Transfer to Personal Payee LINE W7U2A3,61,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
3/13/2017,Interac E Transfer,Interac e-Transfer C0***9eW,240,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
3/13/2017,Transfer from TD EVERY DAY SAVINGS ACCOUNT,Transfer from TD EVERY DAY SAVINGS ACCOUNT 6446058 LW255,240,credit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
3/13/2017,Transfer to EVERY DAY CHEQUING WITH STUDENT DISCOUNT,Transfer to EVERY DAY CHEQUING WITH STUDENT DISCOUNT 6349656 LW255,240,debit,Transfer,TD EVERY DAY SAVINGS ACCOUNT,,
3/10/2017,Tim Horton's,TIM HORTONS 2936 QPS,1.7,debit,Coffee Shops,TD GREEN VISA,,
3/10/2017,Transfer from TD EVERY DAY SAVINGS ACCOUNT,PAYMENT - THANK YOU,130,credit,Hide from Budgets & Trends,TD GREEN VISA,,
3/10/2017,H&M,H&M CA #085 - RIDEAU C,86.42,debit,Clothing,TD GREEN VISA,,
3/10/2017,Petrocan 4358 Innes Road,PETROCAN-4358 INNES RD,34.88,debit,Gas & Fuel,TD GREEN VISA,,
3/10/2017,Transfer to TD GREEN VISA,Transfer to TD Credit Card JT110,130,debit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
3/9/2017,Pharma Plus Drugmarts,PHARMA PLUS DRUGMART 1255,9.03,debit,Pharmacy,TD GREEN VISA,,
3/9/2017,Jonny Canuck Bar,JONNY CANUCK'S BAR &,12.1,debit,Restaurants,TD GREEN VISA,,
3/9/2017,Pizza Pizza,PIZZA PIZZA # 226,18.59,debit,Fast Food,TD GREEN VISA,,
3/8/2017,Tim Horton's,TIM HORTONS 2136 QPS,1.7,debit,Coffee Shops,TD GREEN VISA,,
3/8/2017,Canada Pay,CANADA PAY,571.59,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
3/8/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Transfer to TD EVERY DAY SAVINGS ACCOUNT 6446058 WP255,500,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
3/8/2017,Transfer from EVERY DAY CHEQUING WITH STUDENT DISCOUNT,Transfer from EVERY DAY CHEQUING WITH STUDENT DISCOUNT 6349656 WP255,500,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
3/7/2017,Tim Horton's,TIM HORTONS 2528 QPS,1.7,debit,Coffee Shops,TD GREEN VISA,,
3/6/2017,Thank You,PAYMENT - THANK YOU,265,credit,Hide from Budgets & Trends,TD GREEN VISA,,
3/6/2017,Transfer Personal Payee,Transfer to Personal Payee LINE R6K4W5,1000,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
3/6/2017,Transfer Td Lt,Transfer to TD Credit Card LT474,265,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
3/6/2017,Canada Rit,CANADA RIT,2594.39,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
3/6/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Transfer to TD EVERY DAY SAVINGS ACCOUNT 6446058 LT522,400,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
3/6/2017,Transfer Tfsa R,Transfer to TFSA 11R253J LT492,1000,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
3/6/2017,Transfer from EVERY DAY CHEQUING WITH STUDENT DISCOUNT,Transfer from EVERY DAY CHEQUING WITH STUDENT DISCOUNT 6349656 LT522,400,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
3/3/2017,Winners,WINNERSHOMESENSE 31106,84.73,debit,Furnishings,TD GREEN VISA,,
3/1/2017,Tim Horton's,TIM HORTONS 2136 QPS,1.7,debit,Coffee Shops,TD GREEN VISA,,
3/1/2017,Carleton Food Court,CARLETON FOOD COURT #3,7.89,debit,Fast Food,TD GREEN VISA,,
2/28/2017,Other Bank Fees,OTHER BANK FEES,2,debit,Bank Fee,TD STUDENT CHEQUING ACCOUNT,,
2/27/2017,Shell,SHELL 1993 TENTH LINE RD,48.68,debit,Gas & Fuel,TD GREEN VISA,,
2/25/2017,The Beer Store,THE BEER STORE #4626,35.95,debit,Alcohol & Bars,TD GREEN VISA,,
2/25/2017,Orleans Bowling Ctr,ORLEANS BOWLING,6.04,debit,Amusement,TD GREEN VISA,,
2/25/2017,Uber.com,UBER CA FEB24 CBZY2 HELP.,5.47,debit,Rental Car & Taxi,TD GREEN VISA,,
2/24/2017,Saigon Pho,SAIGON PHO,21.06,debit,Restaurants,TD GREEN VISA,,
2/24/2017,Orleans Bowling Ctr,ORLEANS BOWLING,17.25,debit,Amusement,TD GREEN VISA,,
2/24/2017,Boston Pizza,BOSTON PIZZA # 421,43.76,debit,Restaurants,TD GREEN VISA,,
2/22/2017,Jonny Canuck Bar,JONNY CANUCK'S BAR &,8.5,debit,Restaurants,TD GREEN VISA,,
2/22/2017,Transfer from EVERY DAY CHEQUING WITH STUDENT DISCOUNT,PAYMENT - THANK YOU,400,credit,Hide from Budgets & Trends,TD GREEN VISA,,
2/22/2017,Simply Save Td,Simply Save to TD EVERY DAY SAVINGS ACCOUNT 05636446058,0.5,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
2/22/2017,Transfer to TD GREEN VISA,Transfer to TD Credit Card HH503,400,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
2/22/2017,Canada Pay,CANADA PAY,571.59,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
2/22/2017,Transfer Personal Payee,Transfer to Personal Payee LINE K3Z6Z5,200,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
2/22/2017,Transfer from EVERY DAY CHEQUING WITH STUDENT DISCOUNT,Simply Save from EVERY DAY CHEQUING WITH STUDENT DISCOUNT 05636349656,0.5,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
2/21/2017,ATM Fee,NON-TD ATM W/D,3,debit,ATM Fee,TD STUDENT CHEQUING ACCOUNT,,
2/21/2017,Non Td ATM,NON-TD ATM W/D,60,debit,Cash & ATM,TD STUDENT CHEQUING ACCOUNT,,
2/21/2017,Mvp Rest Bar,MVP REST & BAR SPORTIF,29.58,debit,Restaurants,TD GREEN VISA,,
